"","V2","V3","V4","V5","V6","V7"
"Pseudobacteroides_cellulosolvens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudobacteroides"
"Ruminococcus_flavefaciens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_lactaris","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_17","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_callidus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_NK3A76","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_108","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_FC2018","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_60","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_HUN007","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_UNK_MGS_30","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_obeum_CAG_39","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_JC304","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_albus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_gauvreauii","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_90","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_55","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_579","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_champanellensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_bicirculans","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_57","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_faecis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_torques_CAG_61","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_177","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_gnavus_CAG_126","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_N15_MGS_57","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_bromii","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_254","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_SR1_5","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_353","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_330","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_5_1_39BFAA","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_A254_MGS_108","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_488","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_403","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_563","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_382","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_379","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_724","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_A254_MGS_254","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcus_sp_CAG_624","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Anaerotruncus_sp_G3_2012","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Anaerotruncus_colihominis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Anaerotruncus_sp_CAG_528","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Anaerotruncus_sp_CAG_390","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Subdoligranulum_variabile","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"Subdoligranulum_sp_4_3_54A2FAA","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"Subdoligranulum_sp_CAG_314","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"Candidatus_Soleaferrea_massiliensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus_Soleaferrea"
"Acetivibrio_ethanolgignens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acetivibrio"
"Acetivibrio_cellulolyticus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acetivibrio"
"Faecalibacterium_prausnitzii","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Faecalibacterium_sp_CAG_74","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Faecalibacterium_sp_CAG_82","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Clostridium_josui","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_cellulolyticum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_papyrosolvens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_methylpentosum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Eubacterium_siraeum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_leptum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_cellulosi","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_viride","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Ruminiclostridium_thermocellum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_clariflavum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_straminisolvens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_sporosphaeroides","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_termitidis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Clostridium_stercorarium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"Ruminococcaceae_bacterium_mt9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_D16","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_585_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_AE2021","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_cv2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_AB4001","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Ruminococcaceae_bacterium_GD1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Mageeibacillus_indolicus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Mageeibacillus"
"Ethanoligenens_harbinense","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens"
"Peptostreptococcus_stomatis","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Peptostreptococcus_anaerobius","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Peptostreptococcus_sp_MV1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Intestinibacter_bartlettii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"Clostridium_sordellii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Clostridium_mangenotii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Peptoclostridium_difficile","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Clostridium_hiranonis","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Clostridium_bifermentans","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Eubacterium_yurii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Clostridium_litorale","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Clostridium_sticklandii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"Terrisporobacter_othiniensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter"
"Terrisporobacter_glycolicus","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter"
"Peptostreptococcaceae_bacterium_VA2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_ACC19a","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_oral_taxon_113","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_CM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_CM5","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_AS15","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Peptostreptococcaceae_bacterium_OBRC8","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Filifactor_alocis","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Filifactor"
"Dorea_sp_CAG_317","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_sp_CAG_105","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_sp_D27","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_sp_5_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_longicatena","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_sp_AGR2135","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_formicigenerans","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_formicigenerans_CAG_28","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Dorea_longicatena_CAG_42","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Candidatus_Dorea_massiliensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Shuttleworthia_sp_MSX8B","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia"
"Shuttleworthia_satelles","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia"
"Blautia_obeum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_schinkii","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_sp_CAG_37","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_sp_CAG_257","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Ruminococcus_gnavus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_sp_CAG_237","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_hansenii","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_hydrogenotrophica","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_wexlerae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_sp_CAG_52","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_sp_KLE_1732","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Ruminococcus_torques","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_producta","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Blautia_hydrogenotrophica_CAG_147","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Cellulosilyticum_ruminicola","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"Cellulosilyticum_lentocellum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"Pseudobutyrivibrio_ruminis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"Pseudobutyrivibrio_sp_MD2005","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"Roseburia_inulinivorans","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_50","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_hominis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_45","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_18","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_182","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_197","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_380","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_faecis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_intestinalis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_inulinivorans_CAG_15","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_intestinalis_CAG_13","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_471","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_309","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_CAG_303","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseburia_sp_UNK_MGS_15","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Lachnoclostridium_phytofermentans","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_clostridioforme","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Eubacterium_fissicatena","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_celerecrescens","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_citroniae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_symbiosum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_asparagiforme","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_glycyrrhizinilyticum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_scindens","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_aminophilum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_saccharolyticum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_hylemonae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_bolteae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_methoxybenzovorans","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_sphenoides","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_indolis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Johnsonella_ignava","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Johnsonella"
"Marvinbryantia_formatexigens","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia"
"Lachnoanaerobaculum_sp_MSX33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Lachnoanaerobaculum_saburreum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Lachnoanaerobaculum_sp_OBRC5_5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Lachnoanaerobaculum_sp_ICM7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Coprococcus_sp_CAG_131","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_catus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_eutactus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_HPP0074","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_eutactus_CAG_665","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_comes","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_ART55_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_comes_CAG_19","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_CAG_782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_HPP0048","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Robinsoniella_sp_KNHs210","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"Robinsoniella_sp_RHS","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"Robinsoniella_peoriensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"Herbinix_sp_SD1D","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Herbinix"
"Oribacterium_sinus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Oribacterium_parvum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Oribacterium_sp_oral_taxon_108","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Oribacterium_sp_oral_taxon_078","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Oribacterium_asaccharolyticum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Butyrivibrio_fibrisolvens","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE3004","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_FCS014","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_XPD2006","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_VCD2006","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_proteoclasticus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE2032","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_WCD3002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_LB2008","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_crossotus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_NC2007","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_FC2001","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_crossotus_CAG_259","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE3003","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_VCB2001","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_MC2021","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE2005","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_MB2005","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AD3002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_NC2002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_XPD2002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE3009","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_WCE2006","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_LC3010","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_MC2013","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_NC3005","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_CAG_318","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_FCS006","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_AE3006","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Butyrivibrio_sp_WCD2001","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Catonella_morbi","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella"
"Lachnospiraceae_bacterium_oral_taxon_082","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_COE1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_mt14","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_3_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_JC7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_AC2014","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_oral_taxon_500","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Lachnospiraceae_bacterium_TF01_11","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
